RunID,RuleCount,NonTerminalCount,RunNumber,step,bitsPerBase,grammarSize,neighborsEvaluated
1_15_40,15,40,1,3,3.547124548888586,20,1
2_15_40,15,40,2,6,3.7120302604104913,20,8
3_15_40,15,40,3,5,4.212865914656424,18,19
1_15_40,15,40,1,4,3.4958560663707634,20,10
3_15_40,15,40,3,6,3.6018693324485147,18,5
3_15_40,15,40,3,7,3.567464060261422,18,2
3_15_40,15,40,3,8,3.3702234737598005,18,1
3_15_40,15,40,3,9,3.357925871102324,19,3
2_15_40,15,40,2,7,3.5759379472353237,20,16
1_15_40,15,40,1,5,3.4925249312182336,19,10
3_15_40,15,40,3,10,3.2572650334268776,19,2
3_15_40,15,40,3,11,3.248696180289243,20,2
3_15_40,15,40,3,12,3.1881711358342435,20,3
1_15_40,15,40,1,6,3.48875079360461,18,7
1_15_40,15,40,1,7,3.39006099937215,18,3
1_15_40,15,40,1,8,3.3536484573466407,18,9
2_15_40,15,40,2,8,3.5226418188665614,19,17
3_15_40,15,40,3,13,3.134357828310302,19,14
2_15_40,15,40,2,9,3.519748927718615,19,5
1_15_40,15,40,1,9,3.2502867697914737,17,18
2_15_40,15,40,2,10,3.471663362423445,18,13
2_15_40,15,40,2,11,3.4665277379076818,18,7
1_15_40,15,40,1,10,3.2384531008455557,17,10
3_15_40,15,40,3,14,3.013320958646312,19,30
3_15_40,15,40,3,15,3.0072149996955617,20,2
2_15_40,15,40,2,12,3.4655259792452524,17,27
2_15_40,15,40,2,13,3.4577667184662673,17,1
3_15_40,15,40,3,16,3.0048473083449267,20,10
1_15_40,15,40,1,11,3.215698216567336,17,39
